x,y,z,Gene
24,63,1,Tsc22d3_ntRNA
31,75,1,Tceal5_rbRNA
41,681,1,Pkd1l2_ntRNA
54,151,1,B3gat2_ntRNA
57,173,1,Bsg_rbRNA
67,611,1,Afg3l2_rbRNA
83,745,1,Habp4_ntRNA
85,102,1,Rasl10b_rbRNA
99,669,1,Itk_ntRNA
104,90,1,Afg3l2_rbRNA
107,652,1,Ap3b1_ntRNA
111,124,1,Brs3_rbRNA
121,133,1,Hnrnpab_ntRNA
157,560,1,Rangap1_ntRNA
166,245,1,Ahr_rbRNA
168,661,1,Ahctf1_rbRNA
173,628,1,Kit_ntRNA
182,270,1,Hnrnpa0_rbRNA
201,486,1,Rpl23a_ntRNA
202,336,1,P2rx7_rbRNA
209,429,1,Rab6a_rbRNA
212,544,1,Cyb5b_rbRNA
219,289,1,Srsf4_ntRNA
226,588,1,Caprin1_ntRNA
229,405,1,Eomes_rbRNA
233,274,1,BC005537_ntRNA
233,572,1,Kcng1_rbRNA
238,471,1,Slc34a2_ntRNA
238,552,1,Exoc4_ntRNA
239,339,1,Cacna1h_rbRNA
249,413,1,C1qtnf7_rbRNA
253,458,1,Hnrnpa0_rbRNA
260,283,1,Lsm12_ntRNA
267,292,1,Rbm25_ntRNA
271,425,1,Camk2n1_rbRNA
279,237,1,Ilf2_rbRNA
293,432,1,Syt6_rbRNA
315,310,1,Pdcd6ip_rbRNA
323,283,1,Arhgef12_rbRNA
330,599,1,Stxbp1_rbRNA
335,754,1,Ablim3_rbRNA
356,589,1,Bsg_ntRNA
361,622,1,Atp6v1a_rbRNA
369,592,1,Bmpr1b_rbRNA
369,662,1,Cacna2d2_ntRNA
395,375,1,Arhgdia_rbRNA
399,604,1,Brs3_ntRNA
408,429,1,Grsf1_rbRNA
410,39,1,Cox17_rbRNA
410,538,1,Atf3_rbRNA
424,548,1,Nova2_rbRNA
426,215,1,Gabbr2_rbRNA
426,390,1,Khdrbs2_ntRNA
434,478,1,Ago2_rbRNA
437,98,1,Tac2_ntRNA
438,277,1,Syt11_rbRNA
445,508,1,Uqcr11_rbRNA
450,57,1,Hnrnpu_ntRNA
452,459,1,Ipo5_ntRNA
456,75,2,Cald1_rbRNA
459,748,1,Rpl36al_ntRNA
463,197,1,Itm2b_rbRNA
481,36,1,Klf12_ntRNA
482,158,1,Sncb_rbRNA
482,706,1,Abca1_ntRNA
484,87,1,Atat1_rbRNA
487,537,1,Lmnb1_rbRNA
494,768,1,Sncb_rbRNA
495,105,1,Kcnma1_rbRNA
495,121,1,Atp6v1b2_ntRNA
495,130,1,Calb2_ntRNA
498,140,1,H1f0_rbRNA
501,38,1,Arf4_rbRNA
505,715,1,Rpl18a_ntRNA
537,511,1,Camkv_rbRNA
540,419,1,Espn_rbRNA
544,434,1,Plagl1_rbRNA
547,635,1,Hirip3_ntRNA
551,42,1,Dsg1a_rbRNA
560,637,1,Atp6v1b2_rbRNA
567,614,1,Ldhb_ntRNA
571,760,1,Sox2_ntRNA
571,633,1,Rpl8_rbRNA
571,637,1,Rpl8_rbRNA
576,538,1,Lrrc55_rbRNA
577,602,1,Rbms1_ntRNA
581,559,1,Ctsb_rbRNA
584,768,1,Sox8_rbRNA
603,573,1,Apoe_rbRNA
603,676,1,Rps16_ntRNA
604,402,1,Pfn1_ntRNA
607,343,1,Hnrnpa3_ntRNA
608,351,1,Smim17_ntRNA
616,758,1,Apba1_rbRNA
622,359,1,Lsm14a_ntRNA
624,691,1,mt-Co1_rbRNA
628,395,1,Spock2_rbRNA
634,739,1,Arhgdia_rbRNA
639,541,1,Capzb_rbRNA
640,547,1,Capzb_rbRNA
648,714,1,mt-Cytb_ntRNA
655,231,1,Acp1_rbRNA
656,715,1,mt-Cytb_rbRNA
661,702,1,Rpl8_ntRNA
662,612,1,Rpl8_rbRNA
667,488,1,mt-Co1_rbRNA
670,720,1,Zranb2_rbRNA
672,431,1,Rplp2_rbRNA
679,295,1,Arpc2_rbRNA
679,688,1,Atp1b1_ntRNA
681,383,1,Ptms_rbRNA
688,241,1,Lbh_rbRNA
697,456,1,Rbm5_rbRNA
697,512,1,mt-Cytb_rbRNA
705,592,1,Idh1_ntRNA
711,447,1,Atp1a3_rbRNA
712,700,1,Sulf1_rbRNA
720,593,1,Calm3_rbRNA
725,469,1,mt-Cytb_rbRNA
734,743,1,Ablim3_ntRNA
736,354,1,Arpc5_rbRNA
736,396,1,Fam98a_rbRNA
741,492,1,Rab11b_rbRNA
746,752,1,Abca1_ntRNA
749,287,1,Atp1a3_rbRNA
752,569,1,Sncg_ntRNA
753,586,1,Rpl6_ntRNA
752,604,1,Btg1_rbRNA
754,384,1,B2m_rbRNA
759,636,1,Slc25a5_rbRNA
760,552,1,Ldhb_ntRNA
762,335,1,Ascl1_ntRNA
767,637,1,BC005537_rbRNA
40,733,2,Hibadh_ntRNA
95,692,2,Trim9_rbRNA
172,382,2,Bbx_rbRNA
209,567,2,Atg3_ntRNA
212,224,2,Ptpn11_rbRNA
263,295,2,Car2_rbRNA
306,251,2,Stat1_rbRNA
338,570,2,Hnrnpk_ntRNA
359,330,2,Myl6_rbRNA
392,450,2,Inpp5a_ntRNA
405,451,2,Pdcd4_rbRNA
420,82,2,Klhl14_ntRNA
427,168,3,Baiap3_ntRNA
441,79,2,Calm2_ntRNA
462,161,2,Cadm4_rbRNA
470,527,2,Ass1_ntRNA
489,765,2,Sncb_rbRNA
526,434,2,Ppp2r2b_rbRNA
532,481,2,Hnrnpm_ntRNA
534,655,2,Phactr1_rbRNA
544,699,2,Spp2_ntRNA
546,378,2,Rbm8a_rbRNA
564,381,2,Larp1b_rbRNA
587,767,2,Sox8_rbRNA
626,693,2,mt-Co1_rbRNA
631,698,2,Rps28_ntRNA
657,610,2,mt-Co1_rbRNA
664,634,2,mt-Co1_rbRNA
685,646,2,mt-Cytb_rbRNA
689,625,2,Calm2_ntRNA
689,649,2,mt-Cytb_rbRNA
701,456,2,Rbm5_rbRNA
725,531,3,Sox2_rbRNA
