"cell_id","UMAP_1","UMAP_2","label1","label2","label3"
"0",-2.22473586284067,-4.41204363420981,"Neuron","TEPN","MSN"
"1",11.1310192278728,5.68970173284037,"Neuron","TEPN","MSN"
"2",1.79376947201345,-10.0077002675869,"Mix","Mix","Mix"
"3",0.253753059278467,2.32749193593485,"Non_Neuron","AC","AC2"
"4",4.00688802517507,16.6272742120884,"Non_Neuron","OLG","OLG1"
"5",-2.77140248500254,8.74792068883402,"Non_Neuron","MLG","MLG"
"6",-2.65571344577219,8.41369408055765,"Non_Neuron","MLG","MLG"
"7",11.833813302885,7.49831264897806,"Neuron","TEPN","MSN"
"8",12.4456611803875,6.16328543111307,"Neuron","TEPN","MSN"
"9",-8.27929771624949,5.76595943852884,"Non_Neuron","VAS","Peri/VEC"
"10",-3.61809218608286,-3.67797261789816,"Neuron","TEPN","MSN"
"11",11.9161049059734,6.28947513982279,"Neuron","TEPN","MSN"
"12",-5.7732065983906,5.36989944859964,"Non_Neuron","VAS","Peri/VEC"
"13",2.24551736630056,15.9654719202183,"Non_Neuron","OLG","OLG2"
"14",-2.52123833381083,-2.48651510790365,"Mix","Mix","Mix"
"15",12.2888446978435,6.07145136281473,"Neuron","TEPN","MSN"
"16",12.6759754351482,6.39829224034769,"Neuron","TEPN","MSN"
"17",12.1535907915935,6.60306137486917,"Neuron","TEPN","MSN"
"18",-1.86562145434763,8.35066479131205,"Non_Neuron","MLG","MLG"
"19",4.49453031338308,17.5959250299595,"Mix","Mix","Mix"
"20",1.782081001173,5.32134502812845,"Non_Neuron","AC","AC1"
"21",4.84825002468679,15.852675136771,"Non_Neuron","OLG","OLG1"
"22",-7.84293258868601,-11.436911884103,"Mix","Mix","Mix"
"23",12.7212902239666,-4.39058071688192,"Mix","Mix","Mix"
"24",11.694014184843,6.57076614781839,"Neuron","TEPN","MSN"
"25",12.1129480532512,6.33061569615824,"Neuron","TEPN","MSN"
"26",2.56566082752798,4.8587390749119,"Non_Neuron","AC","AC2"
"27",11.807220094572,6.3799359171055,"Neuron","TEPN","MSN"
"28",11.3655859164104,7.92802303716165,"Neuron","TEPN","MSN"
"29",12.0900007418499,6.97828310414774,"Neuron","TEPN","MSN"
"30",11.8375478915081,6.2155129282139,"Neuron","TEPN","MSN"
"31",12.0358043841228,6.58887070104105,"Neuron","TEPN","MSN"
"32",12.2666813067302,6.61081188603861,"Neuron","TEPN","MSN"
"33",-7.4582766362324,5.47759741231424,"Non_Neuron","VAS","Peri/VEC"
"34",-6.11049354754832,3.902105983939,"Mix","Mix","Mix"
"35",10.5541502169475,5.69465273305399,"Neuron","TEPN","MSN"
"36",-3.26224673472788,-6.87262994364279,"Neuron","TEPN","TEGLU Mix"
"37",-8.44846523486521,5.15008419438822,"Non_Neuron","VAS","Peri/VEC"
"38",12.2241254977093,5.86856716557962,"Neuron","TEPN","MSN"
"39",-5.10463751040842,-12.9246562154629,"Mix","Mix","Mix"
"40",12.0813480547771,6.4314405290745,"Neuron","TEPN","MSN"
"41",0.316163115869501,-0.198057416234189,"Mix","Mix","Mix"
"42",10.5986410311565,6.09352320119364,"Neuron","TEPN","MSN"
"43",-1.16778714143183,14.6438309518955,"Non_Neuron","OLG","OLG1"
"44",-1.9762015410557,-2.54563552454489,"Mix","Mix","Mix"
"45",4.11564361370657,5.31851356908304,"Mix","Mix","Mix"
"46",10.9327818087444,5.74401539250833,"Neuron","TEPN","MSN"
"47",12.0619455508098,6.67118280812723,"Neuron","TEPN","MSN"
"48",12.1426941088543,6.71822660848123,"Neuron","TEPN","MSN"
"49",11.1178756884441,6.15837496205789,"Mix","Mix","Mix"
"50",1.35670530117605,15.2729260294102,"Non_Neuron","OLG","OLG2"
"51",2.00628339565847,17.1261889307163,"Non_Neuron","OLG","OLG2"
"52",-7.70469034396555,5.2627131311558,"Non_Neuron","VAS","Peri/VEC"
"53",11.923506372343,6.75262611791117,"Neuron","TEPN","MSN"
"54",1.63776861942861,6.9449846117161,"Mix","Mix","Mix"
"55",11.8239437273845,7.4597870676182,"Neuron","TEPN","MSN"
"56",1.96801673687551,6.40831964894754,"Non_Neuron","AC","AC2"
"57",11.2461076907024,6.45198410436136,"Neuron","TEPN","MSN"
"58",11.9036089114055,6.17496889516336,"Neuron","TEPN","MSN"
"59",10.4470459154949,6.10011213704569,"Neuron","TEPN","MSN"
"60",12.2048546007976,6.56527441426737,"Neuron","TEPN","MSN"
"61",12.4287067583904,6.58138817235453,"Neuron","TEPN","MSN"
"62",12.0985780886516,6.37688558980448,"Neuron","TEPN","MSN"
"63",12.2102667025432,6.55317514821512,"Neuron","TEPN","MSN"
"64",12.6142984560833,5.93673675939066,"Neuron","TEPN","MSN"
"65",-2.64917481624033,8.68551128789408,"Non_Neuron","MLG","MLG"
"66",11.9366642168865,6.74859827443582,"Neuron","TEPN","MSN"
"67",12.6876207522259,6.05478876515848,"Neuron","TEPN","MSN"
"68",12.0053793124065,6.70442789479715,"Neuron","TEPN","MSN"
"69",-7.74751747332957,5.2640501825474,"Non_Neuron","VAS","Peri/VEC"
"70",11.6403986147747,6.07907837316019,"Neuron","TEPN","MSN"
"71",11.1960254839763,5.6826555101536,"Neuron","TEPN","MSN"
"72",11.9583564928875,6.686529812064,"Neuron","TEPN","MSN"
"73",5.69086276806448,16.7297446100376,"Non_Neuron","OLG","OLG2"
"74",2.92683827198599,14.7907521097325,"Non_Neuron","OLG","OLG2"
"75",4.32351028240774,16.4123656122349,"Non_Neuron","OLG","OLG2"
"76",11.4713894060955,6.59468000813944,"Neuron","TEPN","MSN"
"77",12.1688791445598,6.72399300023539,"Neuron","TEPN","MSN"
"78",11.3868662051067,7.12230270787699,"Neuron","TEPN","MSN"
"79",-8.17544353686716,6.08775871678812,"Non_Neuron","VAS","Peri/VEC"
"80",10.9084621600017,6.33475321217997,"Neuron","TEPN","MSN"
"81",3.22822391308401,15.8972174493931,"Non_Neuron","OLG","OLG2"
"82",2.87920724667166,17.4441840021275,"Non_Neuron","OLG","OLG1"
"83",-0.599637373615763,13.7135683862827,"Non_Neuron","OLG","OLG2"
"84",3.18764602459524,14.2139469949864,"Mix","Mix","Mix"
"85",11.6387668780193,6.65869921132547,"Neuron","TEPN","MSN"
"86",-0.787395662893316,14.3022772638462,"Non_Neuron","OLG","OLG1"
"87",11.3659111193523,6.66886108800394,"Neuron","TEPN","MSN"
"88",3.08619438923452,4.8925320474766,"Non_Neuron","AC","AC2"
"89",4.02045594967459,17.1874987451695,"Non_Neuron","OLG","OLG2"
"90",3.08771955288503,16.4301058618687,"Non_Neuron","OLG","OLG2"
"91",-1.6114075251713,16.0915896265171,"Non_Neuron","OLG","OLG2"
"92",5.88225948132131,17.1025187341831,"Non_Neuron","OLG","OLG2"
"93",12.1902986697063,6.08877247258646,"Neuron","TEPN","MSN"
"94",11.2639003924236,6.18116253301126,"Neuron","TEPN","MSN"
"95",10.7114463976726,6.02719086095316,"Neuron","TEPN","MSN"
"96",12.0899959734783,6.4724652139805,"Neuron","TEPN","MSN"
"97",4.33550607479666,14.2310129968785,"Non_Neuron","OLG","OLG1"
"98",10.7180133990154,5.88734548970682,"Neuron","TEPN","MSN"
"99",-1.46567905627634,-1.99870747641104,"Mix","Mix","Mix"
"100",-2.45953024112131,9.18924015447122,"Non_Neuron","MLG","MLG"
"101",-1.12527019463923,12.2939001886509,"Non_Neuron","OLG","OLG1"
"102",12.2826782397136,6.72999590322,"Neuron","TEPN","MSN"
"103",4.95592271603201,15.9651705591343,"Non_Neuron","OLG","OLG1"
"104",0.758270137678125,12.7007948724888,"Non_Neuron","OLG","OLG1"
"105",12.3154779604778,6.89747732564432,"Neuron","TEPN","MSN"
"106",11.8095956972942,5.66328257009012,"Neuron","TEPN","MSN"
"107",-2.99589098178293,-3.51633578852194,"Neuron","TEPN","MSN"
"108",12.6061216524944,6.42271917745096,"Neuron","TEPN","MSN"
"109",1.35703610695455,3.62085264607889,"Non_Neuron","AC","AC1"
"110",11.5844751528606,6.72615164205057,"Neuron","TEPN","MSN"
"111",-0.486114344824812,-1.34894585922735,"Mix","Mix","Mix"
"112",4.17737876690481,15.3524329034947,"Non_Neuron","OLG","OLG1"
"113",4.00434028423879,16.5222460596226,"Non_Neuron","OLG","OLG2"
"114",3.4282311133251,14.221423801627,"Mix","Mix","Mix"
"115",-1.14524049245264,0.121351834978885,"Mix","Mix","Mix"
"116",11.4656282595501,6.11092871114237,"Neuron","TEPN","MSN"
"117",5.57946836269949,16.6996714441441,"Non_Neuron","OLG","OLG1"
"118",12.6951109103069,6.10790365621073,"Neuron","TEPN","MSN"
"119",12.028806321989,6.74416225835306,"Neuron","TEPN","MSN"
"120",-0.529268898335061,1.57242577954752,"Non_Neuron","AC","AC3"
"121",10.3974758318767,-5.06283265665548,"Neuron","INH","INH_Pvalb"
"122",4.81057655132864,-11.3578007848598,"Neuron","TEPN","MSN"
"123",12.5650001696453,6.1132671205662,"Neuron","TEPN","MSN"
"124",12.2924019030437,6.65708177968485,"Neuron","TEPN","MSN"
"125",3.71082460201834,17.7396151392124,"Non_Neuron","OLG","OLG2"
"126",4.82823526180837,17.2487723199986,"Non_Neuron","OLG","OLG2"
"127",-2.98700464450266,-1.86070019320028,"Mix","Mix","Mix"
"128",-0.703418410648367,15.9139601556919,"Non_Neuron","OLG","OLG2"
"129",12.4920984438762,5.91330307408792,"Neuron","TEPN","MSN"
"130",11.059323900114,6.06436794682962,"Neuron","TEPN","MSN"
"131",11.2710243395672,5.97383182927591,"Neuron","TEPN","MSN"
"132",-0.124259419073126,-1.50842160299795,"Neuron","TEPN","TEGLU L4"
"133",11.7926689318523,5.92652958318216,"Neuron","TEPN","MSN"
"134",12.5485788515911,6.52405041142923,"Neuron","TEPN","MSN"
"135",12.1005464724407,6.50262897893412,"Neuron","TEPN","MSN"
"136",12.5560375384197,6.269950565543,"Neuron","TEPN","MSN"
"137",0.6245646408901,1.82599061414225,"Mix","Mix","Mix"
"138",11.9869733980999,5.82017677709085,"Neuron","TEPN","MSN"
"139",-4.23889983378794,2.90050118848307,"Mix","Mix","Mix"
